w1a,w1b,w1c,w1d,w1e,w1f,w1g,w1h,w1i,w1j,w1k,w1l,w1m,w1n,w1o,w1p,w1q,w1r,w1s,w1t,w1u,w1v,w1w,w1x,w1y,w1z,w1aa,w1ab,w2a,w2b,w2c,w2d,w2e,w2f,w2g,w2h,w2i,w2j,w2k,w2l,w2m,w2n,w2o,w2p,w2q,w2r,w2s,w2t,w2u,w2v,w2w,w2x,w2y,w2z,w2aa,w2ab,class
4,1,0,2,4.19,0,0,0,0.5,4,0.5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,1,4.11,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
4,1,0,1,4.26,0,0,0,1,4,0.25,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,0,3,3.74,0,0,0,0.666666667,4,0.375,0,7,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2
7,2,0,3,3.62,0,0,0,0.666666667,3.5,0.428571429,0,6,-1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,5,2,0,2,3.3,0,0,0,1,2.5,0.4,0,4,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
3,1,0,2,5.95,0,0,0,0.5,3,0.666666667,65,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,0,1,3.7,0,0,0,1,4,0.25,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
6,1,0,2,4.49,0,1,0,0.5,6,0.333333333,0,4,-2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,4,1,0,2,5.08,0,0,0,0.5,4,0.5,76,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
6,2,0,2,4.86,0,0,0,1,3,0.333333333,0,5,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,2,4.55,0,1,0,0.5,6,0.333333333,0,4,-2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2
4,1,0,2,4.9,0,0,0,0.5,4,0.5,0,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,4.17,0,0,0,0.5,5,0.4,0,4,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
5,1,0,2,3.48,0,0,0,0.5,5,0.4,56,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,0,1,3.91,0,1,0,1,4,0.25,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,1,0,1,3.88,0,0,0,1,5,0.2,0,4,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,2,4.92,0,0,0,0.5,5,0.4,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
4,1,0,1,4.34,0,0,0,1,4,0.25,38,3,-1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,1,5.27,0,0,0,1,3,0.333333333,20,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
